lat,lon,risk,alert,ndvi_stress,elevation_m,slope_deg
49.0,14.0,0.0,False,0.327,624.0,0.72
49.0,20.0,0.0,False,0.29,200.0,0.0
49.0,18.0,0.0,False,0.429,200.0,0.0
49.0,16.0,0.0,False,0.433,321.0,1.16
49.0,22.0,0.0,False,0.366,200.0,0.0
49.0,24.0,0.0,False,0.223,418.0,0.56
50.1,16.0,0.0,False,0.436,317.0,0.59
50.1,14.0,0.0,False,0.291,398.0,0.25
50.1,18.0,0.0,False,0.292,200.0,0.0
50.1,24.0,0.0,False,0.397,200.0,0.0
50.1,20.0,0.0,False,0.289,200.0,0.0
50.1,22.0,0.0,False,0.336,200.0,0.0
51.2,16.0,0.0,False,0.337,200.0,0.0
51.2,14.0,0.0,False,0.321,200.0,0.0
51.2,20.0,0.0,False,0.443,200.0,0.0
51.2,18.0,0.0,False,0.408,200.0,0.0
51.2,24.0,0.0,False,0.279,200.0,0.0
51.2,22.0,0.0,False,0.405,200.0,0.0
52.3,14.0,0.0,False,0.275,200.0,0.0
52.3,16.0,0.0,False,0.443,200.0,0.0
52.3,20.0,0.0,False,0.407,200.0,0.0
52.3,18.0,0.0,False,0.406,200.0,0.0
52.3,22.0,0.0,False,0.444,200.0,0.0
52.3,24.0,0.0,False,0.328,200.0,0.0
53.4,16.0,0.0,False,0.422,200.0,0.0
53.4,14.0,0.0,False,0.216,200.0,0.0
53.4,18.0,0.0,False,0.462,200.0,0.0
53.4,20.0,0.0,False,0.362,200.0,0.0
53.4,22.0,0.0,False,0.377,200.0,0.0
53.4,24.0,0.0,False,0.193,200.0,0.0
54.5,14.0,0.0,False,0.426,200.0,0.0
54.5,18.0,0.0,False,0.397,200.0,0.0
54.5,16.0,0.0,False,0.432,200.0,0.0
54.5,20.0,0.0,False,0.273,200.0,0.0
54.5,22.0,0.0,False,0.204,200.0,0.0
54.5,24.0,0.0,False,0.25,80.0,0.23
