lat,lon,risk,classical_risk,quantum_risk,alert,ndvi_stress,fwi_score,drought_days,elevation_m,slope_deg,quantum_backend,quantum_augmented,label_source
49.0,16.0,0.8038,1.0,0.7348,True,0.675,0.56,21,321.0,1.14,qiskit_qsvc,False,heuristic
49.0,22.0,0.6843,0.9719,0.7399,False,0.53,0.436,21,213.0,1.17,qiskit_qsvc,False,heuristic
49.0,24.0,0.7149,0.9588,0.7311,False,0.53,0.476,21,418.0,0.58,qiskit_qsvc,False,heuristic
49.0,20.0,0.3265,0.2036,0.5416,False,0.272,0.34,21,1000.0,0.38,qiskit_qsvc,False,heuristic
50.1,14.0,0.8043,0.9967,0.7379,True,0.686,0.56,21,398.0,0.25,qiskit_qsvc,False,heuristic
49.0,14.0,0.7575,0.962,0.7246,True,0.593,0.523,21,624.0,0.73,qiskit_qsvc,False,heuristic
49.0,18.0,0.7166,0.9652,0.7331,False,0.561,0.475,21,538.0,2.41,qiskit_qsvc,False,heuristic
50.1,22.0,0.8086,1.0,0.7301,True,0.635,0.566,21,205.0,0.22,qiskit_qsvc,False,heuristic
50.1,24.0,0.8289,1.0,0.7221,True,0.679,0.59,21,220.0,0.16,qiskit_qsvc,False,heuristic
50.1,20.0,0.3485,0.2707,0.5458,False,0.286,0.341,21,269.0,0.47,qiskit_qsvc,False,heuristic
50.1,18.0,0.4504,0.5236,0.7194,False,0.18,0.331,21,258.0,0.2,qiskit_qsvc,False,heuristic
50.1,16.0,0.8432,1.0,0.7307,True,0.759,0.604,21,317.0,0.61,qiskit_qsvc,False,heuristic
51.2,18.0,0.6647,0.9654,0.7299,False,0.361,0.419,21,200.0,0.3,qiskit_qsvc,False,heuristic
51.2,16.0,0.8195,0.9935,0.7319,True,0.625,0.58,21,177.0,0.26,qiskit_qsvc,False,heuristic
51.2,20.0,0.5878,0.8028,0.7271,False,0.406,0.389,21,224.0,0.33,qiskit_qsvc,False,heuristic
52.3,16.0,0.8123,1.0,0.7247,True,0.703,0.571,21,78.0,0.08,qiskit_qsvc,False,heuristic
51.2,14.0,0.7911,1.0,0.7349,True,0.674,0.546,21,255.0,0.65,qiskit_qsvc,False,heuristic
52.3,24.0,0.7803,0.9719,0.7267,True,0.7,0.545,21,148.0,0.04,qiskit_qsvc,False,heuristic
51.2,22.0,0.7902,1.0,0.7346,True,0.625,0.545,21,156.0,0.44,qiskit_qsvc,False,heuristic
52.3,18.0,0.742,0.9779,0.7371,False,0.371,0.498,21,98.0,0.86,qiskit_qsvc,False,heuristic
51.2,24.0,0.8574,1.0,0.7306,True,0.741,0.619,21,179.0,0.21,qiskit_qsvc,False,heuristic
52.3,22.0,0.8003,1.0,0.7337,True,0.705,0.556,21,123.0,0.3,qiskit_qsvc,False,heuristic
52.3,14.0,0.7368,1.0,0.7372,False,0.58,0.485,21,58.0,0.74,qiskit_qsvc,False,heuristic
53.4,18.0,0.7787,1.0,0.7325,True,0.594,0.532,21,200.0,1.01,qiskit_qsvc,False,bdl_ban:RDLP_TORUN/Bydgoszcz
53.4,16.0,0.559,0.7413,0.7365,False,0.185,0.375,21,140.0,0.31,qiskit_qsvc,False,heuristic
53.4,14.0,0.6227,0.8704,0.7264,False,0.438,0.405,21,49.0,0.78,qiskit_qsvc,False,heuristic
52.3,20.0,0.6462,0.9432,0.7366,False,0.434,0.404,21,200.0,1.0,qiskit_qsvc,False,heuristic
54.5,14.0,0.665,0.8876,0.7311,False,0.53,0.445,21,0.0,0.0,qiskit_qsvc,False,heuristic
54.5,18.0,0.6931,0.9968,0.7254,False,0.551,0.441,21,109.0,0.53,qiskit_qsvc,False,heuristic
53.4,24.0,0.7147,0.9399,0.7317,False,0.602,0.482,21,115.0,0.1,qiskit_qsvc,False,heuristic
53.4,20.0,0.5974,0.8538,0.7348,False,0.456,0.381,21,182.0,0.1,qiskit_qsvc,False,heuristic
54.5,20.0,0.5763,0.8098,0.6844,False,0.473,0.383,21,30.0,0.43,qiskit_qsvc,False,heuristic
54.5,16.0,0.6625,0.8461,0.7319,False,0.593,0.456,21,0.0,0.0,qiskit_qsvc,False,heuristic
53.4,22.0,0.7796,1.0,0.7289,True,0.672,0.534,21,141.0,0.18,qiskit_qsvc,False,heuristic
54.5,24.0,0.6753,0.927,0.7253,False,0.599,0.444,21,80.0,0.27,qiskit_qsvc,False,heuristic
54.5,22.0,0.7371,0.9805,0.7446,False,0.59,0.49,21,76.0,0.27,qiskit_qsvc,False,heuristic
